1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	3	5	
Referential Clarity	4	3	4	
Focus	3	4	4	
Structure	2	3	4	
Coherence	2	3	4	
Readability	3	3	3	
Information Content	2	5	4	
Spelling	3	2	3	
Length	3	3	4	
Overall Quality	2	5	4	
